#	Genetic ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)	Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death from physical anthropology	Group ID	Locality	Political Entity	Lat.	Long.	Pulldown Strategy	Data source	No. Libraries	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	SNPs hit on autosomal targets (Computed using easystats on HO snpset)	Molecular Sex	Family ID and position within family	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if >2x or published	mtDNA match to consensus if >2x (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	Libraries	ASSESSMENT	"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
7639	NA19376.SG	NA19376	..	..	..	1KGPhase3	Modern	0	0	present	..	LWK.SG	Webuye	Kenya	1.3	36.8	1240K pulldown padded to 3.2M snpset	Shotgun	..	..	1137553	587172	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS	..
14937	HG02402.DG	HG02402	..	..	..	1KGPhase3	Modern	0	0	present	..	CDX.DG	Dai Xishuangbanna	China	22	100.8	1240K pulldown padded to 3.2M snpset	Shotgun.diploid	..	..	858512	430599	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS_MAYBE_REPLACE_IN_FUTURE_WITH_LESS_FILTERED_VERSION_WITH_MORE_SNPS_COVERED	..
10691	ATP17_noUDG.SG	ATP17	ATP17	..	2015	GuntherPNAS2015	Direct: IntCal20	4849	30	3008-2783 calBCE (4280±30 BP, Beta-368290)	..	Spain_C.SG	El Portalon Cave, Sierra de Atapuerca	Spain	42.3525	-3.5183333330000002	Repulldown on 3.2M snpset	Shotgun	..	0.032	22396	11898	M	n/a (no relatives detected)	..	..	..	H3	..	..	..	ds.minus	..	PASS	..
8663	I10000	I10000	LOEB_108b (Grave 108, Individual 1 in a double burial)	petrous	2019	NarasimhanPattersonScience2019	Context: Archaeological - Period	2850	58	1000-800 BCE	..	Pakistan_Loebanr_IA	Swat Valley, Loebanr	Pakistan	34.751461	72.401936	Repulldown on 3.2M snpset	1240K	1	1.681005	750105	404077	M	Pakistan, Swat Valley, Loebanr Family A (3 members) (I10000, I6292, and I6554 are father, mother, and son)	..	..	44.2	U7a	[0.979,0.995]	0.117	0.42	ds.half	S10000.E1.L1	PASS	..
1019	HGDP00423.DG	HGDP00423	..	..	2020	BergstromScience2020	Modern	0	0	present	..	Burusho.DG	..	Pakistan	36.498386	74	1240K pulldown padded to 3.2M snpset	Shotgun.diploid	..	..	1135057	586189	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS	..
13097	C393_noUDG	C393	C393	Bone	2022	KumarFuScience2022	Direct (WARNING: NO UNCALIBRATED DATE OR LAB CODE)	1651	44	223-375 calCE	..	China_Xinjiang_Hetian_Historical	Xinjiang, Hetian Region, Luopu  County, Hetian	China	36.97	79.94	Native Pulldown on 3.2M snpset	1240K	1	..	102625	59225	F	n/a (no relatives detected)	n/a (female)	n/a (female)	1009	T1a1	..	0.082	..	ss.minus	L0695	PASS	..
2131	STD003	STD003	Stadice_67	..	2021	PapacScienceAdvances2021	Direct: IntCal20	4877	36	3011-2887 calBCE (4314±25 BP, MAMS-45793)	..	Czech_CordedWare_o1	Bohemia, Stadice	Czech Republic	50.612939	13.961205	Repulldown on 3.2M snpset	1240K	1	0.410914	363852	190613	F	n/a (No relatives detected)	n/a (female)	n/a (female)	..	K2a	..	..	..	ds.half	STD003.B0101.TF1.1	PASS	..
5661	HG01678.SG	HG01678	..	..	..	1KGPhase3	Modern	0	0	present	..	IBS.SG	Aragon	Spain	41	-1	1240K pulldown padded to 3.2M snpset	Shotgun	..	..	1140087	588934	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS	..
14266	HG01398.DG	HG01398	..	..	..	1KGPhase3	Modern	0	0	present	..	PUR.DG	..	Puerto Rico	18.406389	-66.063889000000003	1240K pulldown padded to 3.2M snpset	Shotgun.diploid	..	..	858509	430593	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS_MAYBE_REPLACE_IN_FUTURE_WITH_LESS_FILTERED_VERSION_WITH_MORE_SNPS_COVERED	..
11510	Aes9	Aes9	Aes9	petrous	2020	FurtwanglerNatureCommunications2020	Direct: IntCal20	4848	15	2917-2881 calBCE (4280±23 BP, BE-8679.1.1)	..	Switzerland_LN	Aesch	Switzerland	47.465413	7.601691	Repulldown on 3.2M snpset	1240K	1	0.539238	368931	197862	F	Switzerland Aesch Family D (12 members) (Aes12-Aes19-Aes3 are all 1st degree relatives and are all 2nd or 3rd deg relatives of Aes 8 and Aes23. Aes12-Aes24 have a father-son relationship (order unknown), and as expected Aes24 is a 2nd or 3rd degree relative of Aes19 and Aes3. Aes12 and Aes19 are also 2nd or 3rd degree relatives of Aes1 and Aes10. Aes23 is a 2nd or 3rd degree relative of Aes24, Aes8, and Aes10. Aes21 and Aes1 are 2nd or 3rd degree relatives of each other and of Aes20 and Aes5. Aes 9 is a 2nd or 3rd degree relative of both Aes20 and Aes21.)	n/a (female)	n/a (female)	..	U5b2b5	..	..	..	ds.half	Aes9	PASS	..
