Ancient pop	Sex	B	C	E	F	G	H	I	J	L	N	O	P	Q	R	T
Norway Medieval.SG	M														R1b1a1b1a1	
Norway Medieval lc.SG	M				F											
Norway Viking.SG	M							I1							R1a1a1b1a3,R1b1a1b1a1a1c2b2a1b1a4b	
Poland Viking.SG	M														R	
Poland Viking father.or.son.VK156.SG	M														R1a1a	
Portugal LN C.SG	M							I2a1a1a1b								
PuertoRico PasodelIndio Ceramic	M													Q1b1a1a		
Russia AngaraRiver BA.SG	M													Q1a2a1c		
Russia AngaraRiver Medieval.SG	M							I*								
Russia Boisman MN	M		C2a1a-F3927													
Russia Boisman MN contam	M		C2a-F3776													
Russia Caucasus LBA Dolmen	M								J							
Russia Caucasus Maikop Novosvobodnaya	M								J2a1							
Russia Siberia Lena EBA o	M													Q1a2a		
Russia Viking.SG	M							I1,I1								
Scotland C EBA	M														R1b1a1b1a1a2c1	
Scotland LBA	M														R1b1a1b1a1a2c1	
Scotland MBA	M							I2a1b1a1a1							R1b1a1b1a1a2c1	
Scotland N	M							I2a1a2a1a2a,I2a1b1a2								
Scotland N lowEEF	M							I2a1b1a1a1b								
Spain Almoloya Argar Early	M														R1b1a1b1a1a2a1	
Spain Almoloya Argar Late	M														R1b1a1b1a1a2a1	
Spain Almoloya Argar son.ALM015.ALM016	M														R1b1a1b1a1a2a1	
Spain C	M					G2a2a		I2a2a								
Spain LaHorna BA 1d.LHO001	M														R1b1a1b1a1a2a1	
Spain SE Iberia BA Argar	M														R1b1a1b1a1a2	
Spain SE Iberia CA	M						H2									
Sweden EarlyViking lc.SG	M		CT													
Sweden Gotland Hemmor PittedWare BattleAxe.SG	M							I2-M438								
Sweden Gotland Hemmor PittedWare BattleAxe minus.SG	M							I2-M438								
Sweden Viking.SG	M			E1b1b1b2a1a4				I1a	J2a1a1b2a1b1						R1a1,R1b1a1b1a1a2a1b1a,R1b1a1b1a1a1c2b2a1b1a,R1b1a1b1a1a2c1,R1b1a1b1a1a1c2b2a1b1a4b1,R1b1a1b1a1a1c2b1,R1a1a1b1a3a2	
Taiwan Hanben IA	M											O1a2-F1081				
Turkey TellAtchana MLBA	M									LT [K1]						T1a1a
Wales C EBA	M														R1b1a1b1a1a2	
Wales LBA	M														R1b1a1b1a1a2c1a1h	
Wales N.SG	M							I								
