Ancient pop	Sex	Age	Country	Lat	Long	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z	total
Bulgaria EBA oNorth	M	4337	Bulgaria	42.462247	26.025931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bulgaria EIA	M	2750	Bulgaria	41.74333333333333	26.286666666666665	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
Bulgaria EIA lc	M	2750	Bulgaria	41.73	26.33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bulgaria EIA o	F	2750	Bulgaria	41.77	26.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bulgaria LIA	M	2200	Bulgaria	42.56	25.41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bulgaria MalakPreslavets N	F	7550	Bulgaria	43.98	26.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bulgaria Medieval	F	797	Bulgaria	43.12	25.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Bulgaria Medieval oEastAsia	M	1014	Bulgaria	43.139507	25.610236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Bulgaria Varna C	M	6566	Bulgaria	43.2131	27.8644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Cameroon SMA	M	7820	Cameroon	5.8586	10.0778	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Chile LosRieles 12000BP	M	11885	Chile	-31.92	-71.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chile StraitOfMagellan Kaweskar 100BP o.SG	M	100	Chile	-53.84	-71.17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China AR EN	F	7361	China 	46.8613	119.655	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China AR IA	M	1786	China 	46.8613	119.655	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
China AR Xianbei IA	M	1800	China 	46.8613	119.655	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
China Guangxi Cenxun Sui Tang	F	1372	China	23.4	107.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
China Guangxi Huatuyan Ming.SG	M	405	China	25.1	107.66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Guangxi Yiyang NorthernAndSouthernDynasties Sui Tang	F	1372	China	23.33	107.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
China SEastAsia Island EN	M	8190	China	26.3	120.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Tianyuan	M	39565	China	39.657778	115.871389	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Upper YR LN	M	4296	China 	36.919614	102.531876	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Wuzhuangguoliang LN.EC	F	4785	China	37.820604	109.050593	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Ayituohan BA Afanasievo	F	4498	China	47.97	86.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
China Xinjiang Baiyanghe Historical	F	1089	China	43.76	89.26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Bolati IA	F	2371	China	47.7	86.87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Chaganguole(Chagangole) BA Chemurcheck	M	4224	China	46.48	90.75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Chaganguole BA Chemurcheck	M	4224	China	46.48	90.75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
China Xinjiang G218 IA Scythian Yuezhi Wusun possible	F	2139	China	43.8	82.51	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
China Xinjiang Hetian Historical	F	1651	China	36.97	79.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
China Xinjiang Jierzankale IA	M	2515	China	37.77	75.22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Jirentaigoukou EIA o	F	2256	China	43.79	82.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
China Xinjiang Kafulang Historical	F	1008	China	43.91	82.08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Kuokesuxi EIA	M	2034	China	43.08	81.52	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Liushui IA	M	2824	China	36.46	81.95	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
China Xinjiang Qiafuqihaishuiku IA Scythians Wusun possible	F	2420	China	43.23	82.28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Sandaohaizi IA lc	F	2351	China	46.48	90.74	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Simutasi Historical	M	875	China	42.45	81.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Songshugou BA	F	4131	China	47.44	85.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
China Xinjiang Songshugou EIA	F	2574	China	47.44	85.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
China Xinjiang Songshugou EIA	M	2574	China	47.44	85.87	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Tangbalesayi IA Scythians Wusun possible	M	2160	China	43.6	82.62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
China Xinjiang Wutulan IA	F	2180	China	43.83	82.72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Wutulan IA	M	2167	China	43.83	82.72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
China Xinjiang Wutulan IA Suodunbulake possible	F	2268	China	43.83	82.72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Wuzan IA	F	2515	China	43.22	81.84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Wuzan IA oEastAsia	F	2515	China	43.22	81.84	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Xiaohe BA	F	3900	China	40.3364	88.6725	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Xiaohe BA.SG	F	3757	China	40.3364	88.6725	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Zeketai IA	M	2028	China	43.54	83.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
China Xinjiang Zhagunluke(Zaghunluq) IA Zaghunluq	F	2181	China	38.27	85.33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China Xinjiang Zhagunluke IA Zaghunluq	M	2190	China	38.27	85.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
China YR LBIA	F	3332	China 	35.170782	113.15469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China YR MN	M	6927	China 	34.564554	110.977875	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia C	M	5950	Croatia	45.312965	18.402813	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia C Lasinja	F	6093	Croatia	45.4482	17.6388	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia C Lasinja	M	6050	Croatia	45.44820000000001	17.6388	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Croatia EIA	F	2750	Croatia	44.694464	14.3927	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia EIA	M	2554	Croatia	45.900833	15.700288	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia EN Impressa	M	7545	Croatia	43.35141	16.461788	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia LBA EIA lc	F	2900	Croatia	43.88741	15.72534	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia MBA	M	3519	Croatia	43.194	17.344	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia MBA Cetina	M	3750	Croatia	43.967224	16.432671	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Croatia MLBA	F	3170	Croatia	44.852005	15.419943999999997	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	5
Croatia MLBA	M	3275	Croatia	44.852005	15.419944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
Croatia MLBA brother.I18078.father.I18071	M	3100	Croatia	44.852005	15.419944	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
