Cuba CanimarAbajo Archaic	M				D1																		
Cuba CuevaPerico Archaic	F				D1																		
Cuba CuevaPerico Archaic	M				D1																		
Cuba GuayaboBlanco Archaic	M				D1																		
Curacao SantaCruz Ceramic	F			C1b																			
Czech BellBeaker	F								H4a1c,H5a1g			K1a2c							U8b1b1				
Czech BellBeaker	M								H1m		J1c7							T2b11,T2e			W3a1c		
Czech BellBeaker brother.I4888	M											K1a2c											
Czech C Baalberge	F																		U3a1				
Czech C Baalberge	M								H														
Czech CordedWare	F								H2a3			K2a5						T1a1	U5a2a1			X2b	
Czech CordedWare o1	F											K2a											
Czech EBA Unetice	F								H13a1a,H6c		J1c2							T2e,T2b23	U5b1c2,U5a1a1,U5b1c2,U5a1i1	V	W1c		
Czech EBA Unetice	M								H			K1b1b1						T2b	U2e2a1c				
Czech EBA Unetice brother.I14585	M											K1a1b2a											
Czech EBA Unetice father.MIB015.father.MIB010.father.MIB030.father.MIB035.father.MIB018.father.MIB011	M										J1c												
Czech EBA Unetice father.or.son.MIB083.1d.rel.MIB078	M														N1								
Czech EBA Unetice mother.MIB034.MIB033	F								H7b														
Czech EBA Unetice sister.MIB015.sister.MIB010.sister.MIB030.sister.MIB035.sister.MIB018.daughter.MIB012	F											K1b1b1											
Czech EBA Unetice sister.MIB071	F											K1a1b2a											
Czech EBA Unetice sister.PDA002	F																		U5a1b1				
Czech EBA Unetice son.MIB038.brother.MIB045.father.MIB039	M																			V22			
Czech EMBA	F										J1c3												
Czech IA Hallstatt	F																				W6a		
Czech IA Hallstatt lc	M										J1c1												
Czech IA LaTene	F								H5c,H			K1a4a1											
Czech IA LaTene	M								H3ag,H5a4a1,H26a1			K1a26							U5b2b1a1				
Czech IA LaTene 1d.rel.I20504 lc	M								H3ag														
Czech IA LaTene mother.or.daughter.I15039	F								H6a1a														
Czech LBA Knoviz	F																		U2e1a1				
Czech LBA Knoviz	M								H1+16189														
Czech LBA Knoviz o3	F																	T2b					
Czech LN	F																					X2b4	
Czech MBA Tumulus	F																	T1a1					
Czech N	F																		U8b1b1				
Czech N	M														N1a1a								
Czech N GlobularAmphora	F											K1a3a											
Czech N Rivnac mother.or.daughter.KO1016	F								HV														
Czech N TRB	F											K2a											
Czech Vestonice13 lc	M																		U8c				
Denmark EarlyViking.SG	M																		U5a1a				
Denmark LBA.SG	M																	T2b					
Denmark LN.SG	F								H3b														
Denmark Viking.SG	F								H3b3														
Denmark Viking.SG	M								H6a1a5,H4a1a4b	I4a								T1a1,T2b+152	U5b1+16189+@16192,U5a1a2b				
Denmark Viking lc.SG	F								H6a2														
Denmark Zealand Saxon Medieval	F								HV+16311,H1b,H10c1,H31														
Dominican Andres Archaic	F				D1																		
Dominican Atajadizo Ceramic	F			C1b2,C1b2																			
Dominican Atajadizo Ceramic	M	A2																					
Dominican CuevaJuana Ceramic	F			C1b2																			
Dominican CuevaRoja Archaic	F			C1d1																			
Dominican ElFrances Ceramic	M			C1b2																			
Dominican JuanDolio Ceramic	F	A2+(64)		C1b																			
Dominican JuanDolio Ceramic	M	A2+(64)																					
Dominican LaCaleta Ceramic	F			C1b2																			
Dominican LaCaleta Ceramic	M			C1b2,C1b2,C1b2,C1b2																			
Egypt Ptolemaic contam	M																		U6a2				
England BellBeaker	F																	T2c1d+152					
England BellBeaker	M											K1b1a1											
England BellBeaker lowEEF	F																R1a1a						
England C EBA	F								H5c,H2a3,H1c			K1a1b1											
England C EBA	M								H5c	I4a		K1c1						T2b4+152	U4b1b2				
England C EBA lowEEF	M																					X2b+226	
England Derbyshire IA oEEF.SG	M								H10b														
England EIA	F								H1aq														
England EIA	M								H5a1	I4a								T2b1		V			
England EarlyMedieval	F											K1c2											
England EarlyMedieval	M								H5		J1c5,J1c1b1a								U5a2a1				
England EarlyMedieval 1d.rel.I11574.I11572	M								HV6														
England EarlyMedieval Saxon	F										J2a1a1a							T2b4+152		V+@16298			
England EarlyMedieval Saxon	M								H1a3b									T2f1a1	U2e2a1a				
England EarlyMedieval Saxon.SG	F								H2a2b1														
England EarlyMedieval father.I14541	M																					X2b5	
England EarlyMedieval o	F									I3a													
England EastYorkshire MIA LIA	F																	T2c1d1a					
England EastYorkshire MIA LIA	M								H2a3b,H2a3b														
England IA	F																		U4b1a1a1				
England IA Roman.SG	M										J1b1a1												
England Kent AngloSaxon Emedieval lc	M									I2													
England LBA	F								H3														
England LBA lc	M																		U5a1g1				
England LIA	F																		U5a1b1e				
England LIA	M								H66a1,H5'36														
England MBA	F										J1c2e												
England MBA	M								H1an1a										U5a1a1				
England MIA	F								H1c3a,H1o,H1ag1			K2b1a							U5a1b1e	V2b			
England MIA	M								H1bb,H1n6									T2b1,T1a1+@152	U5a2a1				
England MIA LIA	F								H5s									T2b33					
England MIA LIA	M									I2a	J1c3	K2b1a1a						T1a1	U5b2b3,U2e1a1				
England MIA lc	M								H														
England MIA lowEEF	F																	T2b4c					
England Mesolithic.SG	F																		U5a2				
England N	M								H1c									T2c1d1					
England N Megalithic	M																	T2e1					
England N o	M								H														
England Viking.SG	M								H4a1a4b,H1a1	I1a1e								T1a1q					
England Viking lc.SG	M									I3a1													
England Viking o.SG	M											K2a5											
Estonia BA.SG	M											K1c1h							U4a2b				
Estonia BA.SG 1d.rel.s19 V14 2.SG	M																	T2a1b1a1					
Estonia CordedWare.SG o1	F								H5a1														
Estonia EMN Narva	M																		U4a1				
Estonia EarlyViking.SG	M								H2a2b1,H1b,H17a2			K1c1h						T2b5a,T2e1	U4a2a1				
Estonia IA.SG	M								H1c														
Faroes EarlyModern.SG	F								H17														
Faroes EarlyModern 1d.rel.VK236.VK25.SG	M								H3a1a														
France BA	M																R1a1a						
France BellBeaker LowSteppe	M								H														
France EN MN o	M											K1a2b											
France GrandEst IA1.SG	F										J1c2o	K1a2a											
France GrandEst IA2	F											K1a1b1											
France GrandEst IA2.SG	F								H1q														
France GrandEst LBA.SG	F																		U5b2b				
France GrandEst MN.SG	F										J1c1b												
France GrandEst MN.SG	M											K1a1a							U8b1b1				
France HautsDeFrance MN.SG	M								H1e														
France MN	F								H26			K1a3a							U5b3,U5b1c	V			
France MN	M										J2a1a1	K1a											
France MN 1	F																	T2b3+151	U3a1				
France MontAime MLN.SG	M										J1c5	K1a4a1h											
France MontAime MLN father.or.son.2H10.SG	M																		U5b1i				
France N	M																			V			
France Occitanie MN.SG	F								H-16291											V10a			
France Ranchot88	F																		U5b1				
France SouthEast IA2	M								H1bt1														
Georgia Satsurblia.SG	M											K3											
Germany AltInden Saxon EMedieval	M																		U3a1				
Germany AltInden Saxon EMedieval father.or.son.IND001.A	M								H2a2														
