Ancient pop	Sex	Age	Country	Lat	Long	B	C	E	F	G	H	I	J	L	N	O	P	Q	R	T	total
Germany Anderten Saxon Medieval father.ADN005.ADN003.ADN009	M	1150	Germany	52.359733	9.869503	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Germany Dunum Saxon Medieval dup.DUN001.A	M	1050	Germany	53.596232	7.645448	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Germany Dunum Saxon Medieval dup.DUN001.B	M	1050	Germany	53.596232	7.645448	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Germany EN LBK	M	7060	Germany	48.78	9.18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Germany Hiddestorf Saxon EMedieval	M	1550	Germany	52.280438	9.712492	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Germany Lech BellBeaker	M	4250	Germany	48.31966	10.89153	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Germany Lech EBA	M	3917	Germany	48.29573	10.89103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Germany Lech EBA contam	M	3906	Germany	48.26656	10.87857	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Germany Lech MBA	M	3709	Germany	48.22519	10.84977	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Germany Saxony LBK N	M	6950	Gernamy	51.87	10.91	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Germany Schleswig Saxon LMedieval	M	800	Germany	54.520535	9.559718	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
Germany Tollense BA.SG	M	3200	Germany	53.74	13.31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Germany Zetel Saxon EMedieval	M	1250	Germany	53.418071	7.973378	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Hungary C Balaton Lasinja	M	6231	Hungary	47.102645	17.912987	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hungary DanubeTisza EAvar	M	1300	Hungary	47.0484835	19.231274499999998	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Hungary DanubeTisza LAvar	M	1250	Hungary	46.750679	19.738192	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Hungary EBA Protonagyrev	M	4011	Hungary	47.429954	19.051966	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Hungary LateC Baden	M	5175	Hungary	46.78469	17.731714	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Hungary Transtisza EAvar	M	1300	Hungary	46.861303	20.556284	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Iceland Early Christian.SG	M	603	Iceland	65.437602	-14.602639	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Iran GanjDareh N	M	9800	Iran	34.45	48.116	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Ireland EBA.SG	M	3700	Ireland	55.292132	-6.191685	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Ireland EN.SG	M	5705	Ireland	53.04866	-9.140049	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Ireland EN MN.SG	M	5558	Ireland	53.04866	-9.140049	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Ireland Kilteasheen AngloSaxon EMedieval Norman	M	950	Ireland	54.00684	-8.202308	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5
Ireland MN.SG	M	5442	Ireland	52.985499	-9.111454	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Ireland Megalithic.SG	M	5517	Ireland	54.251	-8.519	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Italy North EarlyMedieval Langobards 4	M	1345	Italy	45.0792	7.5783	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Italy Sicily N Stentinello	M	7245	Italy	38.11	12.7866	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Malawi Hora LSA 8500BP.SG	M	8895	Malawi	-11.659928	33.641921	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mongolia BA 1	M	3226	Mongolia	49.41	102.69	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Mongolia EIA SlabGrave 1	M	2740	Mongolia	47.7106945	106.94722200000001	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Mongolia LBA CenterWest 4 o	M	3001	Mongolia	46.426	100.817	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Mongolia LBA CenterWest 5	M	3116	Mongolia	48.3	89.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Mongolia LBA MongunTaiga 1	M	3410	Mongolia	47.069	91.83	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Mongolia LBA MongunTaiga 3	M	3095	Mongolia	45.35	90.85	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Mongolia MBA Munkhkhairkhan 2	M	3722	Mongolia	47.047374	91.839556	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Nepal Mustang Chokhopani IA	M	2725	Nepal	28.72	83.67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Nepal Mustang Samdzong MiddleKingdoms	M	1275	Nepal	29.28	84.03	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Norway LN BA.SG	M	4347	Norway	69.47	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Norway Medieval.SG	M	750	Norway	63.43	10.39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Norway Medieval lc.SG	M	750	Norway	63.43	10.39	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Norway Viking.SG	M	933	Norway	62.903333333333336	12.203333333333333	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3
Poland Viking.SG	M	1059	Poland	52.08	21.02	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Poland Viking father.or.son.VK156.SG	M	950	Poland	52.7	18.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Portugal LN C.SG	M	5450	Portugal	39.916667	-8.433332999999998	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PuertoRico PasodelIndio Ceramic	M	862	Puerto Rico	18.431	-66.382	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Russia AngaraRiver BA.SG	M	4251	Russia	52.9943	103.4209	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Russia AngaraRiver Medieval.SG	M	613	Russia	57.4743	102.8364	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Russia Boisman MN	M	6821	Russia	42.789444	131.276111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Russia Boisman MN contam	M	6714	Russia	42.789444	131.276111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Russia Caucasus LBA Dolmen	M	3275	Russia	44.583333	38.166667	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Russia Caucasus Maikop Novosvobodnaya	M	5385	Russia	44.385019	40.394588	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Russia Siberia Lena EBA o	M	4034	Russia	53.044528	105.510583	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Russia Viking.SG	M	900	Russia	60.0	32.3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Scotland C EBA	M	3978	United Kingdom	55.99	-2.537	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Scotland LBA	M	2810	United Kingdom	57.72	-3.388	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Scotland MBA	M	3268	United Kingdom	57.105	-4.9155	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
Scotland N	M	5281	United Kingdom	59.16815	-3.061	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Scotland N lowEEF	M	5517	United Kingdom	56.403333	-5.478056	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Spain Almoloya Argar Early	M	3803	Spain	37.952759	-1.508	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Spain Almoloya Argar Late	M	3825	Spain	37.952759	-1.508	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Spain Almoloya Argar son.ALM015.ALM016	M	3765	Spain	37.952759	-1.508	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Spain C	M	4679	Spain	42.4516665	-3.035	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2
Spain LaHorna BA 1d.LHO001	M	3500	Spain	38.344015	-0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Spain SE Iberia BA Argar	M	3450	Spain	37.674387	-1.697	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Spain SE Iberia CA	M	4750	Spain	38.783176	-0.34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Sweden EarlyViking lc.SG	M	1200	Sweden	57.350118	17.075842	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sweden Gotland Hemmor PittedWare BattleAxe.SG	M	5145	Sweden	57.22	18.57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Sweden Gotland Hemmor PittedWare BattleAxe minus.SG	M	5145	Sweden	57.22	18.57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Sweden Viking.SG	M	922	Sweden	58.15500000000001	15.039000000000001	0	0	1	0	0	0	1	1	0	0	0	0	0	7	0	10
Taiwan Hanben IA	M	1550	Taiwan	24.327778	121.765556	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Turkey TellAtchana MLBA	M	3550	Turkey	36.2378	36.3847	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
Wales C EBA	M	3563	United Kingdom	53.33	-3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Wales LBA	M	3050	United Kingdom	51.537627	-4.211801	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Wales N.SG	M	5300	United Kingdom	52.034891	-3.193573	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
